% Filename: diffusivity.txt
% No. of header lines:  5
% No. of columns:       3
% Column  1: yG     = latitude at grid-cell boundaries/degN
% Column  2: diffKh = diffusivity/(m s-2)
% Reference: Hyde et al. (1990)
-90.0  0.0000000E+00
-80.0  5.1046149E+04
-70.0  5.2199755E+04
-60.0  5.6906250E+04
-50.0  6.7537027E+04
-40.0  8.4728196E+04
-30.0  1.0640625E+05
-20.0  1.2803816E+05
-10.0  1.4407572E+05
  0.0  1.5000000E+05
 10.0  1.4407572E+05
 20.0  1.2803816E+05
 30.0  1.0640625E+05
 40.0  8.4728196E+04
 50.0  6.7537027E+04
 60.0  5.6906250E+04
 70.0  5.2199755E+04
 80.0  5.1046149E+04
 90.0  0.0000000E+00
